image,condition,label
590.jpg,0,fake
591.jpg,0,fake
592.jpg,1,real
593.jpg,0,fake
594.jpg,0,fake
595.jpg,0,fake
596.jpg,0,fake
597.jpg,0,fake
598.jpg,1,real
599.jpg,0,fake
6.jpg,0,fake
60.jpg,1,real
600.jpg,1,real
601.jpg,1,real
602.jpg,1,real
603.jpg,0,fake
604.jpg,0,fake
605.jpg,1,real
606.jpg,1,real
607.jpg,1,real
608.jpg,1,real
609.jpg,1,real
61.jpg,0,fake
610.jpg,0,fake
611.jpg,0,fake
612.jpg,1,real
613.jpg,0,fake
614.jpg,0,fake
615.jpg,0,fake
616.jpg,0,fake
617.jpg,1,real
618.jpg,0,fake
619.jpg,0,fake
62.jpg,0,fake
620.jpg,0,fake
621.jpg,1,real
622.jpg,0,fake
623.jpg,1,real
624.jpg,1,real
625.jpg,0,fake
626.jpg,0,fake
627.jpg,1,real
628.jpg,0,fake
629.jpg,0,fake
63.jpg,0,fake
630.jpg,1,real
631.jpg,1,real
632.jpg,1,real
633.jpg,1,real
634.jpg,1,real
635.jpg,0,fake
636.jpg,0,fake
637.jpg,1,real
638.jpg,1,real
639.jpg,0,fake
64.jpg,1,real
640.jpg,1,real
641.jpg,1,real
642.jpg,1,real
643.jpg,0,fake
644.jpg,0,fake
645.jpg,1,real
646.jpg,1,real
647.jpg,0,fake
648.jpg,0,fake
649.jpg,0,fake
65.jpg,1,real
650.jpg,0,fake
651.jpg,1,real
652.jpg,1,real
653.jpg,1,real
654.jpg,1,real
655.jpg,1,real
656.jpg,0,fake
657.jpg,0,fake
658.jpg,0,fake
659.jpg,0,fake
66.jpg,1,real
660.jpg,1,real
661.jpg,1,real
662.jpg,0,fake
663.jpg,0,fake
664.jpg,0,fake
665.jpg,0,fake
666.jpg,1,real
667.jpg,1,real
668.jpg,1,real
669.jpg,1,real
67.jpg,1,real
670.jpg,1,real
671.jpg,1,real
672.jpg,0,fake
673.jpg,0,fake
674.jpg,0,fake
675.jpg,1,real
676.jpg,0,fake
677.jpg,0,fake
678.jpg,0,fake
679.jpg,1,real
68.jpg,0,fake
680.jpg,0,fake
681.jpg,1,real
682.jpg,0,fake
683.jpg,1,real
684.jpg,0,fake
685.jpg,1,real
686.jpg,0,fake
687.jpg,0,fake
688.jpg,0,fake
689.jpg,1,real
69.jpg,1,real
690.jpg,0,fake
691.jpg,1,real
692.jpg,1,real
693.jpg,1,real
694.jpg,0,fake
695.jpg,1,real
696.jpg,1,real
697.jpg,0,fake
698.jpg,0,fake
699.jpg,1,real
7.jpg,1,real
70.jpg,1,real
700.jpg,1,real
701.jpg,1,real
702.jpg,1,real
703.jpg,1,real
704.jpg,1,real
705.jpg,1,real
706.jpg,0,fake
707.jpg,1,real
708.jpg,0,fake
709.jpg,0,fake
71.jpg,1,real
710.jpg,0,fake
711.jpg,1,real
712.jpg,1,real
713.jpg,1,real
714.jpg,0,fake
715.jpg,0,fake
716.jpg,1,real
717.jpg,1,real
718.jpg,0,fake
719.jpg,1,real
72.jpg,1,real
720.jpg,0,fake
721.jpg,0,fake
722.jpg,0,fake
723.jpg,0,fake
724.jpg,0,fake
725.jpg,0,fake
726.jpg,1,real
727.jpg,1,real
728.jpg,1,real
729.jpg,1,real
73.jpg,1,real
730.jpg,0,fake
731.jpg,0,fake
732.jpg,1,real
733.jpg,0,fake
734.jpg,1,real
735.jpg,1,real
736.jpg,0,fake
737.jpg,0,fake
738.jpg,1,real
739.jpg,1,real
74.jpg,1,real
740.jpg,0,fake
741.jpg,0,fake
742.jpg,1,real
743.jpg,1,real
744.jpg,0,fake
745.jpg,1,real
746.jpg,1,real
747.jpg,0,fake
748.jpg,1,real
749.jpg,0,fake
75.jpg,1,real
750.jpg,0,fake
751.jpg,1,real
752.jpg,1,real
753.jpg,1,real
754.jpg,1,real
755.jpg,1,real
756.jpg,0,fake
757.jpg,0,fake
758.jpg,0,fake
759.jpg,0,fake
76.jpg,1,real
760.jpg,0,fake
761.jpg,1,real
762.jpg,1,real
763.jpg,1,real
764.jpg,1,real
765.jpg,1,real
766.jpg,1,real
767.jpg,0,fake
768.jpg,1,real
769.jpg,1,real
77.jpg,1,real
770.jpg,0,fake
771.jpg,1,real
772.jpg,0,fake
773.jpg,1,real
774.jpg,1,real
775.jpg,0,fake
776.jpg,1,real
777.jpg,1,real
778.jpg,1,real
779.jpg,1,real
78.jpg,1,real
780.jpg,1,real
781.jpg,1,real
782.jpg,1,real
783.jpg,0,fake
784.jpg,0,fake
785.jpg,0,fake
786.jpg,1,real
787.jpg,0,fake
788.jpg,1,real
789.jpg,1,real
79.jpg,0,fake
790.jpg,0,fake
791.jpg,0,fake
792.jpg,0,fake
793.jpg,1,real
794.jpg,1,real
795.jpg,0,fake
796.jpg,1,real
797.jpg,0,fake
798.jpg,1,real
799.jpg,0,fake
8.jpg,1,real
80.jpg,0,fake
800.jpg,1,real
801.jpg,0,fake
802.jpg,0,fake
803.jpg,1,real
804.jpg,0,fake
805.jpg,1,real
806.jpg,0,fake
807.jpg,1,real
808.jpg,0,fake
809.jpg,1,real
81.jpg,0,fake
810.jpg,1,real
811.jpg,1,real
812.jpg,0,fake
813.jpg,1,real
814.jpg,0,fake
815.jpg,1,real
816.jpg,1,real
817.jpg,1,real
818.jpg,1,real
819.jpg,1,real
82.jpg,1,real
820.jpg,0,fake
821.jpg,1,real
822.jpg,1,real
823.jpg,0,fake
824.jpg,1,real
825.jpg,0,fake
826.jpg,0,fake
827.jpg,1,real
828.jpg,1,real
829.jpg,0,fake
83.jpg,0,fake
830.jpg,1,real
831.jpg,1,real
832.jpg,0,fake
833.jpg,1,real
834.jpg,1,real
835.jpg,1,real
836.jpg,1,real
837.jpg,1,real
838.jpg,1,real
839.jpg,1,real
84.jpg,1,real
840.jpg,0,fake
841.jpg,1,real
842.jpg,0,fake
843.jpg,0,fake
844.jpg,1,real
845.jpg,0,fake
846.jpg,1,real
847.jpg,0,fake
848.jpg,1,real
849.jpg,0,fake
85.jpg,0,fake
850.jpg,1,real
851.jpg,0,fake
852.jpg,0,fake
853.jpg,1,real
854.jpg,0,fake
855.jpg,1,real
856.jpg,1,real
857.jpg,1,real
858.jpg,1,real
859.jpg,1,real
86.jpg,1,real
860.jpg,0,fake
861.jpg,1,real
862.jpg,1,real
863.jpg,0,fake
864.jpg,0,fake
865.jpg,0,fake
866.jpg,1,real
867.jpg,1,real
868.jpg,1,real
869.jpg,1,real
87.jpg,1,real
870.jpg,0,fake
871.jpg,1,real
872.jpg,0,fake
873.jpg,0,fake
874.jpg,1,real
875.jpg,0,fake
876.jpg,0,fake
877.jpg,0,fake
878.jpg,0,fake
879.jpg,1,real
88.jpg,0,fake
880.jpg,1,real
881.jpg,0,fake
882.jpg,0,fake
883.jpg,0,fake
884.jpg,0,fake
885.jpg,1,real
886.jpg,0,fake
887.jpg,0,fake
888.jpg,0,fake
889.jpg,1,real
89.jpg,1,real
890.jpg,0,fake
891.jpg,0,fake
892.jpg,0,fake
893.jpg,0,fake
894.jpg,1,real
895.jpg,0,fake
896.jpg,0,fake
897.jpg,0,fake
898.jpg,0,fake
899.jpg,0,fake
9.jpg,0,fake
90.jpg,0,fake
900.jpg,1,real
91.jpg,0,fake
92.jpg,1,real
93.jpg,1,real
94.jpg,1,real
95.jpg,1,real
96.jpg,1,real
97.jpg,0,fake
98.jpg,0,fake
99.jpg,1,real
